,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
145549,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/18/2020,05:00:00,REGULAR,5954713,6713042
145550,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/18/2020,09:00:00,REGULAR,5954730,6713080
145551,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/18/2020,13:00:00,REGULAR,5954746,6713130
145552,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/18/2020,17:00:00,REGULAR,5954791,6713187
145553,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/18/2020,21:00:00,REGULAR,5954842,6713243
145554,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,01:00:00,REGULAR,5954863,6713284
145555,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,05:00:00,REGULAR,5954863,6713286
145556,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,09:00:00,REGULAR,5954883,6713308
145557,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,13:00:00,REGULAR,5954912,6713342
145558,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,17:00:00,REGULAR,5954955,6713398
145559,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,21:00:00,REGULAR,5954984,6713450
145560,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/20/2020,01:00:00,REGULAR,5955002,6713485
145561,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/20/2020,05:00:00,REGULAR,5955002,6713489
145562,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/20/2020,09:00:00,REGULAR,5955023,6713684
145563,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/20/2020,13:00:00,REGULAR,5955063,6713792
145564,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/20/2020,17:00:00,REGULAR,5955214,6713863
145565,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/20/2020,21:00:00,REGULAR,5955325,6713919
145566,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/21/2020,01:00:00,REGULAR,5955353,6713944
145567,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/21/2020,05:00:00,REGULAR,5955353,6713946
145568,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/21/2020,09:00:00,REGULAR,5955383,6714127
