,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
48678,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,00:00:00,REGULAR,2896568,1013391
48679,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,2896571,1013398
48680,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,2896578,1013405
48681,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,2896596,1013412
48682,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,2896650,1013433
48683,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,2896694,1013449
48684,N039,R251,01-00-00,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,2896722,1013454
48685,N039,R251,01-00-00,96 ST,BC,IND,06/28/2020,04:00:00,REGULAR,2896722,1013459
48686,N039,R251,01-00-00,96 ST,BC,IND,06/28/2020,08:00:00,REGULAR,2896730,1013467
48687,N039,R251,01-00-00,96 ST,BC,IND,06/28/2020,12:00:00,REGULAR,2896745,1013477
48688,N039,R251,01-00-00,96 ST,BC,IND,06/28/2020,16:00:00,REGULAR,2896792,1013495
48689,N039,R251,01-00-00,96 ST,BC,IND,06/28/2020,20:00:00,REGULAR,2896826,1013513
48690,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,00:00:00,REGULAR,2896839,1013523
48691,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,2896840,1013526
48692,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,2896863,1013540
48693,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,2896909,1013569
48694,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,2897021,1013594
48695,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,2897172,1013634
48696,N039,R251,01-00-00,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,2897200,1013648
48697,N039,R251,01-00-00,96 ST,BC,IND,06/30/2020,04:00:00,REGULAR,2897204,1013650
48698,N039,R251,01-00-00,96 ST,BC,IND,06/30/2020,08:00:00,REGULAR,2897230,1013663
48699,N039,R251,01-00-00,96 ST,BC,IND,06/30/2020,12:00:00,REGULAR,2897298,1013689
48700,N039,R251,01-00-00,96 ST,BC,IND,06/30/2020,16:00:00,REGULAR,2897406,1013717
48701,N039,R251,01-00-00,96 ST,BC,IND,06/30/2020,20:00:00,REGULAR,2897570,1013760
48702,N039,R251,01-00-00,96 ST,BC,IND,07/01/2020,00:00:00,REGULAR,2897608,1013771
48703,N039,R251,01-00-00,96 ST,BC,IND,07/01/2020,04:00:00,REGULAR,2897609,1013777
48704,N039,R251,01-00-00,96 ST,BC,IND,07/01/2020,08:00:00,REGULAR,2897634,1013797
48705,N039,R251,01-00-00,96 ST,BC,IND,07/01/2020,12:00:00,REGULAR,2897688,1013822
48706,N039,R251,01-00-00,96 ST,BC,IND,07/01/2020,16:00:00,REGULAR,2897787,1013848
48707,N039,R251,01-00-00,96 ST,BC,IND,07/01/2020,20:00:00,REGULAR,2897959,1013889
48708,N039,R251,01-00-00,96 ST,BC,IND,07/02/2020,00:00:00,REGULAR,2897989,1013899
48709,N039,R251,01-00-00,96 ST,BC,IND,07/02/2020,04:00:00,REGULAR,2897989,1013901
48710,N039,R251,01-00-00,96 ST,BC,IND,07/02/2020,08:00:00,REGULAR,2898008,1013923
48711,N039,R251,01-00-00,96 ST,BC,IND,07/02/2020,12:00:00,REGULAR,2898072,1013946
48712,N039,R251,01-00-00,96 ST,BC,IND,07/02/2020,16:00:00,REGULAR,2898171,1013986
48713,N039,R251,01-00-00,96 ST,BC,IND,07/02/2020,20:00:00,REGULAR,2898320,1014016
48714,N039,R251,01-00-00,96 ST,BC,IND,07/03/2020,00:00:00,REGULAR,2898351,1014022
48715,N039,R251,01-00-00,96 ST,BC,IND,07/03/2020,04:00:00,REGULAR,2898353,1014033
48716,N039,R251,01-00-00,96 ST,BC,IND,07/03/2020,08:00:00,REGULAR,2898369,1014045
48717,N039,R251,01-00-00,96 ST,BC,IND,07/03/2020,12:00:00,REGULAR,2898396,1014060
48718,N039,R251,01-00-00,96 ST,BC,IND,07/03/2020,16:00:00,REGULAR,2898479,1014087
48719,N039,R251,01-00-00,96 ST,BC,IND,07/03/2020,20:00:00,REGULAR,2898571,1014104
48720,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,00:00:00,REGULAR,311233,152344
48721,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,311233,152347
48722,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,311244,152363
48723,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,311269,152384
48724,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,311329,152409
48725,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,311371,152426
48726,N039,R251,01-00-01,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,311398,152442
48727,N039,R251,01-00-01,96 ST,BC,IND,06/28/2020,04:00:00,REGULAR,311398,152446
48728,N039,R251,01-00-01,96 ST,BC,IND,06/28/2020,08:00:00,REGULAR,311406,152458
48729,N039,R251,01-00-01,96 ST,BC,IND,06/28/2020,12:00:00,REGULAR,311434,152473
48730,N039,R251,01-00-01,96 ST,BC,IND,06/28/2020,16:00:00,REGULAR,311480,152496
48731,N039,R251,01-00-01,96 ST,BC,IND,06/28/2020,20:00:00,REGULAR,311534,152523
48732,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,00:00:00,REGULAR,311562,152533
48733,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,311563,152538
48734,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,311593,152563
48735,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,311660,152612
48736,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,311763,152651
48737,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,311946,152688
48738,N039,R251,01-00-01,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,311995,152697
48739,N039,R251,01-00-01,96 ST,BC,IND,06/30/2020,04:00:00,REGULAR,311996,152701
48740,N039,R251,01-00-01,96 ST,BC,IND,06/30/2020,08:00:00,REGULAR,312016,152730
48741,N039,R251,01-00-01,96 ST,BC,IND,06/30/2020,12:00:00,REGULAR,312091,152770
48742,N039,R251,01-00-01,96 ST,BC,IND,06/30/2020,16:00:00,REGULAR,312214,152807
48743,N039,R251,01-00-01,96 ST,BC,IND,06/30/2020,20:00:00,REGULAR,312364,152861
48744,N039,R251,01-00-01,96 ST,BC,IND,07/01/2020,00:00:00,REGULAR,312402,152867
48745,N039,R251,01-00-01,96 ST,BC,IND,07/01/2020,04:00:00,REGULAR,312402,152871
48746,N039,R251,01-00-01,96 ST,BC,IND,07/01/2020,08:00:00,REGULAR,312434,152913
48747,N039,R251,01-00-01,96 ST,BC,IND,07/01/2020,12:00:00,REGULAR,312509,152960
48748,N039,R251,01-00-01,96 ST,BC,IND,07/01/2020,16:00:00,REGULAR,312622,152989
48749,N039,R251,01-00-01,96 ST,BC,IND,07/01/2020,20:00:00,REGULAR,312784,153025
48750,N039,R251,01-00-01,96 ST,BC,IND,07/02/2020,00:00:00,REGULAR,312820,153035
48751,N039,R251,01-00-01,96 ST,BC,IND,07/02/2020,04:00:00,REGULAR,312823,153039
48752,N039,R251,01-00-01,96 ST,BC,IND,07/02/2020,08:00:00,REGULAR,312845,153064
48753,N039,R251,01-00-01,96 ST,BC,IND,07/02/2020,12:00:00,REGULAR,312900,153103
48754,N039,R251,01-00-01,96 ST,BC,IND,07/02/2020,16:00:00,REGULAR,313029,153137
48755,N039,R251,01-00-01,96 ST,BC,IND,07/02/2020,20:00:00,REGULAR,313205,153185
48756,N039,R251,01-00-01,96 ST,BC,IND,07/03/2020,00:00:00,REGULAR,313245,153200
48757,N039,R251,01-00-01,96 ST,BC,IND,07/03/2020,04:00:00,REGULAR,313248,153209
48758,N039,R251,01-00-01,96 ST,BC,IND,07/03/2020,08:00:00,REGULAR,313267,153234
48759,N039,R251,01-00-01,96 ST,BC,IND,07/03/2020,12:00:00,REGULAR,313329,153268
48760,N039,R251,01-00-01,96 ST,BC,IND,07/03/2020,16:00:00,REGULAR,313420,153309
48761,N039,R251,01-00-01,96 ST,BC,IND,07/03/2020,20:00:00,REGULAR,313509,153340
48762,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,00:00:00,REGULAR,6271537,5956576
48763,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,6271538,5956589
48764,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,6271542,5956626
48765,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,6271556,5956673
48766,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,6271587,5956747
48767,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,6271618,5956800
48768,N039,R251,01-00-02,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,6271635,5956825
48769,N039,R251,01-00-02,96 ST,BC,IND,06/28/2020,04:00:00,REGULAR,6271635,5956833
48770,N039,R251,01-00-02,96 ST,BC,IND,06/28/2020,08:00:00,REGULAR,6271639,5956859
48771,N039,R251,01-00-02,96 ST,BC,IND,06/28/2020,12:00:00,REGULAR,6271653,5956911
48772,N039,R251,01-00-02,96 ST,BC,IND,06/28/2020,16:00:00,REGULAR,6271686,5956997
48773,N039,R251,01-00-02,96 ST,BC,IND,06/28/2020,20:00:00,REGULAR,6271715,5957041
48774,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,00:00:00,REGULAR,6271727,5957070
48775,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,6271727,5957075
48776,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,6271743,5957161
48777,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,6271785,5957301
48778,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,6271880,5957412
48779,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,6272051,5957521
48780,N039,R251,01-00-02,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,6272083,5957563
48781,N039,R251,01-00-02,96 ST,BC,IND,06/30/2020,04:00:00,REGULAR,6272084,5957567
48782,N039,R251,01-00-02,96 ST,BC,IND,06/30/2020,08:00:00,REGULAR,6272098,5957660
48783,N039,R251,01-00-02,96 ST,BC,IND,06/30/2020,12:00:00,REGULAR,6272148,5957802
