,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
145584,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/24/2020,01:00:00,REGULAR,5956416,6715348
145585,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/24/2020,05:00:00,REGULAR,5956416,6715349
145586,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/24/2020,09:00:00,REGULAR,5956443,6715517
145587,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/24/2020,13:00:00,REGULAR,5956480,6715610
145588,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/24/2020,17:00:00,REGULAR,5956618,6715685
145589,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/24/2020,21:00:00,REGULAR,5956700,6715742
145625,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/24/2020,01:00:00,REGULAR,648120,330908
145626,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/24/2020,05:00:00,REGULAR,648120,330909
145627,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/24/2020,09:00:00,REGULAR,648134,330946
145628,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/24/2020,13:00:00,REGULAR,648167,330965
145629,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/24/2020,17:00:00,REGULAR,648251,330983
145630,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/24/2020,21:00:00,REGULAR,648306,330990
145666,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/24/2020,01:00:00,REGULAR,9237481,2786573
145667,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/24/2020,05:00:00,REGULAR,9237481,2786573
145668,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/24/2020,09:00:00,REGULAR,9237492,2786611
145669,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/24/2020,13:00:00,REGULAR,9237507,2786617
145670,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/24/2020,17:00:00,REGULAR,9237568,2786629
145671,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/24/2020,21:00:00,REGULAR,9237588,2786637
145707,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/24/2020,01:00:00,REGULAR,1160236213,235525050
145708,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/24/2020,05:00:00,REGULAR,1160236213,235525050
145709,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/24/2020,09:00:00,REGULAR,1160236225,235525077
145710,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/24/2020,13:00:00,REGULAR,1160236239,235525090
145711,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/24/2020,17:00:00,REGULAR,1160236294,235525108
145712,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/24/2020,21:00:00,REGULAR,1160236322,235525114
145748,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/24/2020,01:00:00,REGULAR,15090547,8447242
145749,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/24/2020,05:00:00,REGULAR,15090548,8447242
145750,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/24/2020,09:00:00,REGULAR,15090563,8447330
145751,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/24/2020,13:00:00,REGULAR,15090597,8447388
145752,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/24/2020,17:00:00,REGULAR,15090695,8447452
145753,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/24/2020,21:00:00,REGULAR,15090735,8447484
145789,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/24/2020,01:00:00,REGULAR,25695889,6116536
145790,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/24/2020,05:00:00,REGULAR,25695889,6116538
145791,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/24/2020,09:00:00,REGULAR,25695933,6116621
145792,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/24/2020,13:00:00,REGULAR,25695997,6116677
145793,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/24/2020,17:00:00,REGULAR,25696154,6116735
145794,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/24/2020,21:00:00,REGULAR,25696219,6116759
