,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
48691,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,2896840,1013526
48692,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,2896863,1013540
48693,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,2896909,1013569
48694,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,2897021,1013594
48695,N039,R251,01-00-00,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,2897172,1013634
48696,N039,R251,01-00-00,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,2897200,1013648
48733,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,311563,152538
48734,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,311593,152563
48735,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,311660,152612
48736,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,311763,152651
48737,N039,R251,01-00-01,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,311946,152688
48738,N039,R251,01-00-01,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,311995,152697
48775,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,6271727,5957075
48776,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,6271743,5957161
48777,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,6271785,5957301
48778,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,6271880,5957412
48779,N039,R251,01-00-02,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,6272051,5957521
48780,N039,R251,01-00-02,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,6272083,5957563
48817,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,606701,218595
48818,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,606701,218596
48819,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,606703,218599
48820,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,606707,218599
48821,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,606712,218602
48822,N039,R251,01-06-00,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,606712,218602
48859,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,982950,637503
48860,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,982951,637508
48861,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,982953,637520
48862,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,982973,637524
48863,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,983025,637532
48864,N039,R251,01-06-01,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,983028,637534
48901,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,728547,1909931
48902,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,728552,1909994
48903,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,728559,1910134
48904,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,728581,1910240
48905,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,728616,1910326
48906,N040,R251,00-00-00,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,728626,1910342
48943,N040,R251,00-00-01,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,8283492,10737483
48944,N040,R251,00-00-01,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,8283497,10737560
48945,N040,R251,00-00-01,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,8283524,10737675
48946,N040,R251,00-00-01,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,8283569,10737775
48947,N040,R251,00-00-01,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,8283648,10737874
48948,N040,R251,00-00-01,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,8283659,10737900
48985,N040,R251,00-00-02,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,11915559,7500649
48986,N040,R251,00-00-02,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,11915589,7500747
48987,N040,R251,00-00-02,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,11915699,7500940
48988,N040,R251,00-00-02,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,11915867,7501048
48989,N040,R251,00-00-02,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,11916051,7501148
48990,N040,R251,00-00-02,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,11916105,7501173
146268,R168A,R168,00-00-00,96 ST,123,IRT,06/29/2020,05:00:00,REGULAR,2016466,2093001
146269,R168A,R168,00-00-00,96 ST,123,IRT,06/29/2020,09:00:00,REGULAR,2016520,2093130
146270,R168A,R168,00-00-00,96 ST,123,IRT,06/29/2020,13:00:00,REGULAR,2016589,2093237
146271,R168A,R168,00-00-00,96 ST,123,IRT,06/29/2020,17:00:00,REGULAR,2016709,2093367
146272,R168A,R168,00-00-00,96 ST,123,IRT,06/29/2020,21:00:00,REGULAR,2016776,2093448
146273,R168A,R168,00-00-00,96 ST,123,IRT,06/30/2020,01:00:00,REGULAR,2016795,2093474
