,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
48679,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,2896571,1013398
48680,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,2896578,1013405
48681,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,2896596,1013412
48682,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,2896650,1013433
48683,N039,R251,01-00-00,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,2896694,1013449
48684,N039,R251,01-00-00,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,2896722,1013454
48721,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,311233,152347
48722,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,311244,152363
48723,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,311269,152384
48724,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,311329,152409
48725,N039,R251,01-00-01,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,311371,152426
48726,N039,R251,01-00-01,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,311398,152442
48763,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,6271538,5956589
48764,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,6271542,5956626
48765,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,6271556,5956673
48766,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,6271587,5956747
48767,N039,R251,01-00-02,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,6271618,5956800
48768,N039,R251,01-00-02,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,6271635,5956825
48805,N039,R251,01-06-00,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,606696,218582
48806,N039,R251,01-06-00,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,606696,218582
48807,N039,R251,01-06-00,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,606697,218585
48808,N039,R251,01-06-00,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,606698,218587
48809,N039,R251,01-06-00,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,606699,218587
48810,N039,R251,01-06-00,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,606699,218588
48847,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,982921,637466
48848,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,982922,637466
48849,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,982924,637470
48850,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,982926,637472
48851,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,982933,637476
48852,N039,R251,01-06-01,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,982937,637480
48889,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,728481,1909558
48890,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,728482,1909577
48891,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,728485,1909641
48892,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,728499,1909704
48893,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,728509,1909748
48894,N040,R251,00-00-00,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,728515,1909774
48931,N040,R251,00-00-01,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,8283355,10736988
48932,N040,R251,00-00-01,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,8283356,10737006
48933,N040,R251,00-00-01,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,8283366,10737054
48934,N040,R251,00-00-01,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,8283390,10737112
48935,N040,R251,00-00-01,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,8283420,10737166
48936,N040,R251,00-00-01,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,8283430,10737190
48973,N040,R251,00-00-02,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,11915040,7500328
48974,N040,R251,00-00-02,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,11915051,7500354
48975,N040,R251,00-00-02,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,11915105,7500403
48976,N040,R251,00-00-02,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,11915192,7500452
48977,N040,R251,00-00-02,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,11915272,7500493
48978,N040,R251,00-00-02,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,11915313,7500504
