,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
145554,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,01:00:00,REGULAR,5954863,6713284
145555,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,05:00:00,REGULAR,5954863,6713286
145556,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,09:00:00,REGULAR,5954883,6713308
145557,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,13:00:00,REGULAR,5954912,6713342
145558,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,17:00:00,REGULAR,5954955,6713398
145559,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,07/19/2020,21:00:00,REGULAR,5954984,6713450
145595,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/19/2020,01:00:00,REGULAR,647255,330402
145596,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/19/2020,05:00:00,REGULAR,647255,330402
145597,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/19/2020,09:00:00,REGULAR,647266,330409
145598,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/19/2020,13:00:00,REGULAR,647275,330420
145599,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/19/2020,17:00:00,REGULAR,647296,330428
145600,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,07/19/2020,21:00:00,REGULAR,647319,330441
145636,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/19/2020,01:00:00,REGULAR,9236888,2786347
145637,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/19/2020,05:00:00,REGULAR,9236888,2786347
145638,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/19/2020,09:00:00,REGULAR,9236893,2786354
145639,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/19/2020,13:00:00,REGULAR,9236904,2786362
145640,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/19/2020,17:00:00,REGULAR,9236928,2786367
145641,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,07/19/2020,21:00:00,REGULAR,9236943,2786371
145677,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/19/2020,01:00:00,REGULAR,1160235659,235524781
145678,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/19/2020,05:00:00,REGULAR,1160235659,235524783
145679,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/19/2020,09:00:00,REGULAR,1160235665,235524790
145680,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/19/2020,13:00:00,REGULAR,1160235679,235524796
145681,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/19/2020,17:00:00,REGULAR,1160235694,235524799
145682,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,07/19/2020,21:00:00,REGULAR,1160235710,235524802
145718,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/19/2020,01:00:00,REGULAR,15089603,8446048
145719,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/19/2020,05:00:00,REGULAR,15089603,8446050
145720,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/19/2020,09:00:00,REGULAR,15089609,8446067
145721,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/19/2020,13:00:00,REGULAR,15089624,8446102
145722,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/19/2020,17:00:00,REGULAR,15089652,8446143
145723,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,07/19/2020,21:00:00,REGULAR,15089681,8446168
145759,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/19/2020,01:00:00,REGULAR,25694337,6115535
145760,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/19/2020,05:00:00,REGULAR,25694337,6115537
145761,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/19/2020,09:00:00,REGULAR,25694353,6115555
145762,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/19/2020,13:00:00,REGULAR,25694375,6115583
145763,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/19/2020,17:00:00,REGULAR,25694421,6115618
145764,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,07/19/2020,21:00:00,REGULAR,25694443,6115635
