,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
146053,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/06/2020,01:00:00,REGULAR,5960207,6721020
146054,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/06/2020,05:00:00,REGULAR,5960207,6721020
146055,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/06/2020,09:00:00,REGULAR,5960236,6721211
146056,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/06/2020,13:00:00,REGULAR,5960278,6721331
146057,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/06/2020,17:00:00,REGULAR,5960460,6721436
146058,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/06/2020,21:00:00,REGULAR,5960562,6721506
146096,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/06/2020,01:00:00,REGULAR,650342,332146
146097,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/06/2020,05:00:00,REGULAR,650342,332146
146098,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/06/2020,09:00:00,REGULAR,650352,332202
146099,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/06/2020,13:00:00,REGULAR,650377,332222
146100,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/06/2020,17:00:00,REGULAR,650473,332253
146101,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/06/2020,21:00:00,REGULAR,650533,332273
146139,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/06/2020,01:00:00,REGULAR,9238888,2787218
146140,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/06/2020,05:00:00,REGULAR,9238888,2787218
146141,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/06/2020,09:00:00,REGULAR,9238895,2787241
146142,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/06/2020,13:00:00,REGULAR,9238914,2787258
146143,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/06/2020,17:00:00,REGULAR,9238990,2787267
146144,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/06/2020,21:00:00,REGULAR,9239032,2787273
146182,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/06/2020,01:00:00,REGULAR,1160237548,235525724
146183,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/06/2020,05:00:00,REGULAR,1160237548,235525724
146184,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/06/2020,09:00:00,REGULAR,1160237556,235525756
146185,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/06/2020,13:00:00,REGULAR,1160237577,235525762
146186,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/06/2020,17:00:00,REGULAR,1160237646,235525774
146187,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/06/2020,21:00:00,REGULAR,1160237684,235525780
146225,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/06/2020,01:00:00,REGULAR,15092860,8450353
146226,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/06/2020,05:00:00,REGULAR,15092860,8450354
146227,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/06/2020,09:00:00,REGULAR,15092875,8450477
146228,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/06/2020,13:00:00,REGULAR,15092902,8450551
146229,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/06/2020,17:00:00,REGULAR,15093026,8450617
146230,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/06/2020,21:00:00,REGULAR,15093091,8450651
146268,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/06/2020,01:00:00,REGULAR,25700029,6119185
146269,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/06/2020,05:00:00,REGULAR,25700029,6119187
146270,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/06/2020,09:00:00,REGULAR,25700076,6119286
146271,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/06/2020,13:00:00,REGULAR,25700164,6119338
146272,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/06/2020,17:00:00,REGULAR,25700359,6119392
146273,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/06/2020,21:00:00,REGULAR,25700446,6119422
