,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
146042,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/04/2020,01:00:00,REGULAR,5959492,6720035
146043,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/04/2020,05:00:00,REGULAR,5959492,6720036
146044,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/04/2020,09:00:00,REGULAR,5959519,6720221
146045,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/04/2020,13:00:00,REGULAR,5959563,6720326
146046,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/04/2020,17:00:00,REGULAR,5959715,6720401
146047,R173,R159,00-00-00,116 ST-COLUMBIA,1,IRT,08/04/2020,21:00:00,REGULAR,5959791,6720460
146084,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/04/2020,01:00:00,REGULAR,649905,331944
146085,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/04/2020,05:00:00,REGULAR,649905,331944
146086,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/04/2020,09:00:00,REGULAR,649925,331975
146087,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/04/2020,13:00:00,REGULAR,649944,331992
146088,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/04/2020,17:00:00,REGULAR,650041,332009
146089,R173,R159,00-00-01,116 ST-COLUMBIA,1,IRT,08/04/2020,21:00:00,REGULAR,650102,332022
146127,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/04/2020,01:00:00,REGULAR,9238620,2787096
146128,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/04/2020,05:00:00,REGULAR,9238620,2787097
146129,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/04/2020,09:00:00,REGULAR,9238630,2787134
146130,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/04/2020,13:00:00,REGULAR,9238646,2787146
146131,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/04/2020,17:00:00,REGULAR,9238715,2787153
146132,R173,R159,00-00-02,116 ST-COLUMBIA,1,IRT,08/04/2020,21:00:00,REGULAR,9238741,2787155
146170,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/04/2020,01:00:00,REGULAR,1160237306,235525598
146171,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/04/2020,05:00:00,REGULAR,1160237306,235525598
146172,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/04/2020,09:00:00,REGULAR,1160237317,235525628
146173,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/04/2020,13:00:00,REGULAR,1160237339,235525635
146174,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/04/2020,17:00:00,REGULAR,1160237387,235525650
146175,R173,R159,00-00-03,116 ST-COLUMBIA,1,IRT,08/04/2020,21:00:00,REGULAR,1160237396,235525657
146213,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/04/2020,01:00:00,REGULAR,15092440,8449804
146214,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/04/2020,05:00:00,REGULAR,15092440,8449805
146215,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/04/2020,09:00:00,REGULAR,15092456,8449905
146216,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/04/2020,13:00:00,REGULAR,15092483,8449962
146217,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/04/2020,17:00:00,REGULAR,15092567,8449999
146218,R173,R159,00-03-00,116 ST-COLUMBIA,1,IRT,08/04/2020,21:00:00,REGULAR,15092601,8450026
146256,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/04/2020,01:00:00,REGULAR,25699277,6118717
146257,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/04/2020,05:00:00,REGULAR,25699277,6118717
146258,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/04/2020,09:00:00,REGULAR,25699319,6118791
146259,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/04/2020,13:00:00,REGULAR,25699374,6118831
146260,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/04/2020,17:00:00,REGULAR,25699516,6118873
146261,R173,R159,00-03-01,116 ST-COLUMBIA,1,IRT,08/04/2020,21:00:00,REGULAR,25699582,6118901
