,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
144553,R168A,R168,00-00-00,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,2028607,2109456
144554,R168A,R168,00-00-00,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,2028607,2109461
144555,R168A,R168,00-00-00,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,2028669,2109614
144556,R168A,R168,00-00-00,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,2028750,2109718
144557,R168A,R168,00-00-00,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,2028897,2109879
144558,R168A,R168,00-00-00,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,2029007,2109988
144595,R168A,R168,00-00-01,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,6384049,2670071
144596,R168A,R168,00-00-01,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,6384050,2670077
144597,R168A,R168,00-00-01,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,6384120,2670194
144598,R168A,R168,00-00-01,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,6384211,2670300
144599,R168A,R168,00-00-01,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,6384371,2670402
144600,R168A,R168,00-00-01,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,6384476,2670484
144637,R168A,R168,00-00-02,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,154990,108272
144638,R168A,R168,00-00-02,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,154990,108276
144639,R168A,R168,00-00-02,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,155044,108384
144640,R168A,R168,00-00-02,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,155098,108500
144641,R168A,R168,00-00-02,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,155225,108620
